#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.62521205124e+29,0.0,20119.5294054,27738.4314893,125674.099243,2.67537552677e+19,-2.61765749534e+18,5.12525657207e+18
5.59496775708e+29,0.0,20113.9104999,26929.584553,125378.887234,2.67446771819e+19,-2.72836200897e+18,5.20987907955e+18
2.25252414421e+30,0.0,15406.4335389,28245.1646639,119987.138597,2.65428807956e+19,-2.25927118882e+18,6.20302601526e+18
3.41454416063e+29,0.0,19449.1735658,28256.906392,122950.66066,2.65885330758e+19,-2.38875590675e+18,5.78378297478e+18
3.68186581685e+29,0.0,19799.045269,27566.0687303,124257.434101,2.66963952699e+19,-2.69488498211e+18,5.45399596219e+18
2.25649460608e+29,0.0,21074.3066123,28592.7156415,124961.361782,2.66069082799e+19,-2.40790892874e+18,5.43217981552e+18
4.01190323287e+29,0.0,18549.2829019,27980.6128363,123963.253539,2.66941418907e+19,-2.5110967205e+18,5.46476712718e+18
3.35946307314e+29,0.0,20085.5765993,27314.0339915,124722.051922,2.67514498078e+19,-2.58863779856e+18,5.33567819727e+18
1.1434063622e+30,0.0,19823.2597092,28140.1392904,126428.15595,2.67609430931e+19,-2.38541137499e+18,5.00075725948e+18
2.27177196786e+29,0.0,19274.0624412,27699.3222062,123621.076083,2.66508485212e+19,-2.58098806107e+18,5.61535051481e+18
2.75915543185e+29,0.0,18777.6422797,28093.9903461,122053.060539,2.66020884778e+19,-2.42819017308e+18,5.89255255049e+18
2.89222229409e+29,0.0,19746.9617928,28774.1699152,122898.14132,2.6488199537e+19,-2.32736090268e+18,5.87357220581e+18
1.14027563869e+30,0.0,17540.5299036,27357.7844441,122080.878903,2.66649729588e+19,-2.5994821781e+18,5.83459346153e+18
1.99403379954e+29,0.0,19785.9491417,27880.5698679,123896.026836,2.67513667812e+19,-2.52541389252e+18,5.47615023114e+18
3.77325029912e+29,0.0,23008.2067719,28144.2124618,128035.974645,2.6758647827e+19,-2.54921134419e+18,4.72505484434e+18
2.3896440064e+29,0.0,19852.5933125,27291.4045757,124724.903717,2.67628198117e+19,-2.77878176258e+18,5.30653768755e+18
1.71387799868e+30,0.0,20857.9536588,28210.730879,126196.449312,2.67237516328e+19,-2.45597946488e+18,5.12684515575e+18
1.9897419484e+29,0.0,21226.1768835,28819.8959202,126002.074492,2.67057841987e+19,-2.35252989087e+18,5.14040417183e+18
2.92028016257e+29,0.0,18010.6869992,27106.7655326,122195.648315,2.66392509824e+19,-2.66555526021e+18,5.86831052189e+18
3.45155992469e+29,0.0,16636.4881908,26903.7178486,122231.518157,2.67504798522e+19,-2.66810731945e+18,5.72662686271e+18
2.21711393621e+29,0.0,17706.2491248,26609.3447171,123318.410031,2.67978226716e+19,-2.78941976584e+18,5.50712365724e+18
1.10472145769e+30,0.0,18672.3397946,28116.7743648,122744.061063,2.66010306251e+19,-2.50508901744e+18,5.77873627391e+18
