#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
0.126087011097,-0.186720529679,-0.135437553382,-0.320405105497,142.352113744,-29.8538037141,-111.732423404
0.105089558912,-0.187406476272,-0.135570844237,-0.318223738569,142.378452021,-30.0439379723,-112.47605851
0.418073607244,-0.208438933082,-0.134005318593,-0.302997303085,140.760204853,-31.518049861,-119.62956524
0.411492807451,-0.225787438096,-0.131745615028,-0.300462799048,139.400140803,-32.2101776948,-120.61451535
0.152366607387,-0.217397184654,-0.14298948677,-0.306445403611,139.684302768,-29.4650786173,-118.256791663
0.339537955272,-0.21013422234,-0.137555071727,-0.307219872694,140.443378077,-30.5080082734,-117.675523274
0.217145317899,-0.198999164765,-0.13746690319,-0.318652329981,141.584655725,-30.0988939138,-112.08781564
0.359181325116,-0.217231839145,-0.144304934509,-0.310764055152,140.092994585,-29.4283161457,-115.216186739
0.188302550582,-0.209466996096,-0.137142221763,-0.309100496728,140.743372571,-30.8275214682,-116.530900121
0.264567073497,-0.215165941068,-0.134296993943,-0.307934933834,140.175976413,-31.3083227881,-116.941088389
0.286201131825,-0.207657370164,-0.131227322558,-0.309555189729,140.825767985,-31.8145784761,-116.538295562
0.14397727787,-0.214518296408,-0.138410561517,-0.309065962151,140.372905419,-30.7769774757,-116.197684519
0.294665493522,-0.221320337457,-0.135120529981,-0.303364927253,140.100570674,-31.2296678877,-119.672719142
1.68881576547,-0.200412261674,-0.132792497591,-0.311153976149,141.508373539,-30.9207694138,-115.582336152
0.238180065714,-0.19768845111,-0.132944846847,-0.309363758586,141.463816234,-31.1376312187,-116.834124334
0.154777853977,-0.200778851758,-0.135178897574,-0.314012714983,141.622762699,-30.5831594854,-114.00155467
0.196444476822,-0.209884520358,-0.133730086904,-0.311231183246,140.787420556,-30.9167039535,-115.482677779
0.127813265007,-0.238629725636,-0.136318526539,-0.297640193759,138.291442106,-31.609569724,-121.357588717
0.105258878878,-0.197107970352,-0.133312223141,-0.307958360207,141.508030037,-31.2771119496,-117.597582363
0.882667842636,-0.22048050847,-0.139071209751,-0.296657284579,139.496411439,-30.9820865957,-122.141183204
0.121389763538,-0.237640809075,-0.13255942815,-0.295129779241,138.236483665,-31.9573971797,-122.868678152
0.238922519245,-0.21902345545,-0.138767259241,-0.303786338877,139.704647308,-30.4438098685,-118.929902614
0.15082108542,-0.207095750904,-0.132696947317,-0.310092496666,140.927268589,-31.1623108346,-116.344601457
0.110660185209,-0.224681554814,-0.140359243515,-0.299600945118,139.291583125,-30.4944221729,-120.950217017
0.176000363047,-0.224226114459,-0.136696158267,-0.299483451777,139.385380669,-31.5413122756,-120.870099683
0.497215635774,-0.197869430959,-0.138311976317,-0.31276231464,141.476152014,-30.0317674585,-114.906672752
