#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.95730520134e+29,0.0,-134943.170266,75408.2147471,124535.654017,6.47119402573e+17,5.50474849409e+18,-8.5444019916e+18
7.74429168058e+29,0.0,-135484.136367,75186.0075174,124276.975349,6.16518351971e+17,5.52119767863e+18,-8.44068138851e+18
1.2566594172e+30,0.0,-134499.894229,74971.8632504,124060.141192,6.25277740225e+17,5.58606543208e+18,-8.62657976574e+18
7.5862811061e+29,0.0,-135551.179021,74818.2688857,123945.440326,6.30812583055e+17,5.56491619854e+18,-8.41660071729e+18
3.36125179476e+29,0.0,-134898.325742,75177.3959597,124242.384202,6.68579980776e+17,5.49572721954e+18,-8.47638408983e+18
3.38033802991e+29,0.0,-134384.398775,74917.9897216,124080.648481,5.38610003967e+17,5.54950159288e+18,-8.55546467747e+18
2.26284368842e+29,0.0,-135085.98588,75295.4548653,124220.483082,7.21603129898e+17,5.56822763563e+18,-8.49789022597e+18
2.89249197027e+29,0.0,-135146.330569,74999.6057887,123907.826447,6.72908311784e+17,5.60317849027e+18,-8.64073012316e+18
2.9545090103e+29,0.0,-134843.004352,75442.0095929,123817.124442,5.89920513363e+17,5.57111685829e+18,-8.58075348492e+18
3.45821323023e+29,0.0,-135586.704905,75835.7001324,124192.268881,7.45083350934e+17,5.31314567521e+18,-8.55137316528e+18
3.11287526367e+29,0.0,-134332.967538,75577.9954799,124128.325234,5.45623883952e+17,5.53248895909e+18,-8.64916363132e+18
1.32034222542e+30,0.0,-134700.129173,75947.9848337,124309.195546,5.76890180551e+17,5.45654825162e+18,-8.68992371035e+18
2.3749562976e+29,0.0,-135607.153528,74695.3518301,123836.057962,6.62406397441e+17,5.57043778588e+18,-8.45112677177e+18
2.04737936743e+29,0.0,-134870.775662,75013.1708324,124344.978391,5.08743241495e+17,5.53745741184e+18,-8.46692442862e+18
2.32812116629e+29,0.0,-135464.543931,74711.2802515,123997.714994,5.88159916117e+17,5.54209690642e+18,-8.32272386332e+18
1.68489157947e+30,0.0,-135067.636767,76057.2518359,124490.998079,6.23020237873e+17,5.41760189436e+18,-8.55040864796e+18
2.34209876758e+29,0.0,-135581.191577,75676.960249,124032.217485,6.93457447972e+17,5.41586064602e+18,-8.59108802729e+18
2.80220427678e+29,0.0,-135875.947786,75159.7982005,123535.637162,8.50506488576e+17,5.56170447363e+18,-8.47479932904e+18
4.29564461522e+29,0.0,-135113.603941,76000.2205534,124591.588499,5.91340930964e+17,5.27214105061e+18,-8.41782664568e+18
4.29990615273e+30,0.0,-134674.677693,75737.3278047,124470.041898,5.89169610397e+17,5.45758638563e+18,-8.52898276041e+18
4.97529536875e+29,0.0,-135908.25147,75495.146773,124074.786023,6.95017496927e+17,5.53078745422e+18,-8.5107305616e+18
2.31830041453e+29,0.0,-135164.739821,74724.4051431,124229.00412,5.91403164468e+17,5.53054267439e+18,-8.25272332664e+18
4.75140961302e+29,0.0,-135060.621309,75073.4723004,123733.697174,5.58336447681e+17,5.56566701045e+18,-8.47754095671e+18
2.820740872e+29,0.0,-135298.23562,74439.3722663,124016.73139,6.12310623464e+17,5.64056616083e+18,-8.51157158192e+18
1.99364079992e+29,0.0,-135369.304384,75400.160633,124176.34486,5.81112689298e+17,5.43984276447e+18,-8.43041781096e+18
2.18394676655e+29,0.0,-134470.300968,75792.1999635,124606.062097,4.74109252825e+17,5.37565611746e+18,-8.64957883213e+18
2.81594367939e+29,0.0,-135016.424411,75369.71731,124580.965488,6.55450187055e+17,5.52413863393e+18,-8.53468026556e+18
1.06464363306e+30,0.0,-134996.913068,75531.8783396,124184.893711,5.86920418742e+17,5.51360640082e+18,-8.41032044037e+18
2.26082071542e+29,0.0,-135097.124052,75004.9939315,123874.242971,5.48210551148e+17,5.53269498714e+18,-8.42075437561e+18
3.2059278054e+29,0.0,-135484.492867,75460.4078442,124015.754239,7.10848362395e+17,5.49505985206e+18,-8.46447392956e+18
2.85789772323e+29,0.0,-135699.684714,74964.4127307,123735.066683,6.72755986225e+17,5.5450418572e+18,-8.43896723189e+18
9.60920610449e+29,0.0,-134618.238532,75001.8936135,124235.868359,5.25599566302e+17,5.51260337361e+18,-8.42088510714e+18
6.47919190253e+29,0.0,-134779.064787,75249.8987969,124375.590448,5.17749405846e+17,5.48761964384e+18,-8.52925317518e+18
5.92079996371e+29,0.0,-135476.691505,74046.5352239,123616.475602,6.76265464968e+17,5.70902188308e+18,-8.36689343709e+18
2.99491950941e+29,0.0,-135351.631724,75128.5570664,123776.239803,6.63341705474e+17,5.52092097155e+18,-8.51489437815e+18
4.91033902216e+29,0.0,-135517.517403,74885.5349433,123869.672003,7.45672323086e+17,5.5710355604e+18,-8.51741577732e+18
2.27439495339e+29,0.0,-134625.156843,75375.5831893,124128.622888,6.44729674098e+17,5.52214470137e+18,-8.61916611349e+18
2.97288419115e+29,0.0,-134617.553439,75010.3162793,124503.743581,5.79491003559e+17,5.48245799239e+18,-8.49813342178e+18
3.71000493211e+29,0.0,-134449.801649,75211.9896071,124272.986203,5.66091123827e+17,5.57107886625e+18,-8.55516237513e+18
